Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
GJ Maxwell (DC/KXIP/MI/RCB),2012-2024,134,129,17,2771,95,24.74,1768,156.73,-,18,18,232,160
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,234,50,4842,97*,26.31,3577,135.36,-,22,18,466,161
RG Sharma (DCH/MI),2008-2024,257,252,29,6628,109*,29.72,5054,131.14,2,43,17,599,280
PP Chawla (CSK/KKR/KXIP/MI),2008-2024,192,92,36,624,24*,11.14,563,110.83,-,-,16,56,20
SP Narine (KKR),2012-2024,177,110,20,1534,109,17.04,925,165.83,1,7,16,164,97
Rashid Khan (GT/SRH),2017-2024,121,60,23,545,79*,14.72,337,161.72,-,1,15,39,38
Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,98,16,1706,77*,20.8,1388,122.91,-,6,15,176,38
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2024,171,159,27,3850,114*,29.16,3179,121.1,1,22,14,335,110
AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,90,37,833,64,15.71,604,137.91,-,1,13,79,42
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,137,11,2848,81,22.6,2358,120.78,-,13,13,365,49
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2024,185,171,17,4642,105*,30.14,3761,123.42,2,30,13,478,103
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2024,212,94,34,800,50,13.33,675,118.51,-,1,12,61,28
G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93,31.0,3404,123.88,-,36,12,492,59
SV Samson (DC/RR),2013-2024,168,163,19,4419,119,30.68,3180,138.96,3,25,11,352,206
DA Warner (DC/SRH),2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,11,768,152
A Mishra (DC/DCH/LSG/SRH),2008-2024,162,57,25,381,31,11.9,419,90.93,-,-,10,31,5
SA Yadav (KKR/MI),2012-2024,150,135,23,3594,103*,32.08,2473,145.32,2,24,10,385,130
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251
V Kohli (RCB),2008-2024,252,244,37,8004,113*,38.66,6065,131.97,8,55,10,705,272
HV Patel (DC/PBKS/RCB),2012-2024,106,42,15,249,36*,9.22,203,122.66,-,-,9,16,15
CH Morris (CSK/DC/RCB/RR),2013-2021,81,51,23,618,82*,22.07,398,155.27,-,2,9,41,35
P Kumar (GL/KXIP/MI/RCB/SRH),2008-2017,119,59,21,340,34,8.94,314,108.28,-,-,9,22,17
N Pooran (KXIP/LSG/PBKS/SRH),2019-2024,76,73,18,1769,77,32.16,1090,162.29,-,9,9,112,127
MP Stoinis (DC/KXIP/LSG/RCB),2016-2024,96,88,22,1866,124*,28.27,1314,142.0,1,9,9,150,91
JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*,28.55,2222,109.22,-,17,9,255,44
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158
R Sharma (DC/DCH/PWI),2010-2014,44,20,6,66,14*,4.71,75,88.0,-,-,8,5,3
RD Chahar (MI/PBKS/RPS),2017-2024,78,24,8,129,25*,8.06,124,104.03,-,-,8,13,5
UT Yadav (DC/GT/KKR/RCB),2010-2024,148,52,31,208,24*,9.9,201,103.48,-,-,8,16,9
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*,28.72,1449,116.97,-,7,8,156,40
DR Smith (CSK/DCH/GL/MI),2008-2017,91,89,5,2385,87*,28.39,1764,135.2,-,17,8,245,117
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,90,7,2091,88*,25.19,1631,128.2,-,15,8,214,78
NV Ojha (DC/RR/SRH),2009-2018,113,94,19,1554,94*,20.72,1313,118.35,-,6,8,121,79
